Datetime,Water Level (m)
2024-07-17 00:00:00,-0.14791429
2024-07-17 01:00:00,0.69518304
2024-07-17 02:00:00,1.3734217
2024-07-17 03:00:00,1.8254486
2024-07-17 04:00:00,2.0497813
2024-07-17 05:00:00,1.9328716
2024-07-17 06:00:00,1.5160754
2024-07-17 07:00:00,0.9271739
2024-07-17 08:00:00,0.37783152
2024-07-17 09:00:00,-0.07113954
2024-07-17 10:00:00,-0.39976525
2024-07-17 11:00:00,-0.6214045
2024-07-17 12:00:00,-0.62706506
2024-07-17 13:00:00,-0.13065007
2024-07-17 14:00:00,0.7021391
2024-07-17 15:00:00,1.3361574
2024-07-17 16:00:00,1.6075996
2024-07-17 17:00:00,1.6431537
2024-07-17 18:00:00,1.3269403
2024-07-17 19:00:00,0.7846362
2024-07-17 20:00:00,0.24103563
2024-07-17 21:00:00,-0.2288584
2024-07-17 22:00:00,-0.580994
2024-07-17 23:00:00,-0.83190566
2024-07-18 00:00:00,-0.87743527
2024-07-18 01:00:00,-0.41599563
2024-07-18 02:00:00,0.588728
2024-07-18 03:00:00,1.6060213
2024-07-18 04:00:00,2.15453
2024-07-18 05:00:00,2.3857276
2024-07-18 06:00:00,2.2398586
2024-07-18 07:00:00,1.739085
2024-07-18 08:00:00,1.0629752
2024-07-18 09:00:00,0.46542865
2024-07-18 10:00:00,-0.014429309
2024-07-18 11:00:00,-0.3548497
2024-07-18 12:00:00,-0.6017738
2024-07-18 13:00:00,-0.6783575
2024-07-18 14:00:00,-0.19871938
2024-07-18 15:00:00,0.86375916
2024-07-18 16:00:00,1.7862664
2024-07-18 17:00:00,2.125625
2024-07-18 18:00:00,2.1267412
2024-07-18 19:00:00,1.6851468
2024-07-18 20:00:00,0.9821325
2024-07-18 21:00:00,0.36305335
2024-07-18 22:00:00,-0.13733427
2024-07-18 23:00:00,-0.4881875
2024-07-19 00:00:00,-0.7262949
2024-07-19 01:00:00,-0.7511878
2024-07-19 02:00:00,-0.10610611
2024-07-19 03:00:00,1.0728278
2024-07-19 04:00:00,2.0850527
2024-07-19 05:00:00,2.676341
2024-07-19 06:00:00,2.9381335
2024-07-19 07:00:00,2.719946
2024-07-19 08:00:00,2.0770288
2024-07-19 09:00:00,1.2382344
2024-07-19 10:00:00,0.5859808
2024-07-19 11:00:00,0.11402987
2024-07-19 12:00:00,-0.23489638
2024-07-19 13:00:00,-0.5128644
2024-07-19 14:00:00,-0.6080978
2024-07-19 15:00:00,-0.020309309
2024-07-19 16:00:00,1.1610304
2024-07-19 17:00:00,2.015966
2024-07-19 18:00:00,2.3725264
2024-07-19 19:00:00,2.3881652
2024-07-19 20:00:00,1.8881215
2024-07-19 21:00:00,1.1085826
2024-07-19 22:00:00,0.43551454
2024-07-19 23:00:00,-0.07895068
2024-07-20 00:00:00,-0.4480531
2024-07-20 01:00:00,-0.72600347
2024-07-20 02:00:00,-0.80885035
2024-07-20 03:00:00,0.007645045
2024-07-20 04:00:00,1.430649
2024-07-20 05:00:00,2.4539485
2024-07-20 06:00:00,3.0101607
2024-07-20 07:00:00,3.1729999
2024-07-20 08:00:00,2.7240572
2024-07-20 09:00:00,1.8709633
2024-07-20 10:00:00,1.0344098
2024-07-20 11:00:00,0.39404118
2024-07-20 12:00:00,-0.056889694
2024-07-20 13:00:00,-0.4109453
2024-07-20 14:00:00,-0.6981663
2024-07-20 15:00:00,-0.7610131
2024-07-20 16:00:00,0.085688986
2024-07-20 17:00:00,1.4790251
2024-07-20 18:00:00,2.306352
2024-07-20 19:00:00,2.6022744
2024-07-20 20:00:00,2.4690273
2024-07-20 21:00:00,1.7429509
2024-07-20 22:00:00,0.9080099
2024-07-20 23:00:00,0.2507696
2024-07-21 00:00:00,-0.24925943
2024-07-21 01:00:00,-0.61657524
2024-07-21 02:00:00,-0.898376
2024-07-21 03:00:00,-0.871185
2024-07-21 04:00:00,0.20326157
2024-07-21 05:00:00,1.7582103
2024-07-21 06:00:00,2.7407963
2024-07-21 07:00:00,3.2335994
2024-07-21 08:00:00,3.2502384
2024-07-21 09:00:00,2.5507896
2024-07-21 10:00:00,1.5816919
2024-07-21 11:00:00,0.7509651
2024-07-21 12:00:00,0.14208649
2024-07-21 13:00:00,-0.28724122
2024-07-21 14:00:00,-0.6376866
2024-07-21 15:00:00,-0.91401315
2024-07-21 16:00:00,-0.7692653
2024-07-21 17:00:00,0.38956496
2024-07-21 18:00:00,1.8611531
2024-07-21 19:00:00,2.5379093
2024-07-21 20:00:00,2.7265613
2024-07-21 21:00:00,2.4095862
2024-07-21 22:00:00,1.5299299
2024-07-21 23:00:00,0.67346966
2024-07-22 00:00:00,0.035829388
2024-07-22 01:00:00,-0.44161823
2024-07-22 02:00:00,-0.78777903
2024-07-22 03:00:00,-1.01656
2024-07-22 04:00:00,-0.7121114
2024-07-22 05:00:00,0.61628324
2024-07-22 06:00:00,2.2176843
2024-07-22 07:00:00,3.071565
2024-07-22 08:00:00,3.490513
2024-07-22 09:00:00,3.2700858
2024-07-22 10:00:00,2.3642225
2024-07-22 11:00:00,1.3513639
2024-07-22 12:00:00,0.5642232
2024-07-22 13:00:00,-0.007999497
2024-07-22 14:00:00,-0.4032804
2024-07-22 15:00:00,-0.7321965
2024-07-22 16:00:00,-0.9316114
2024-07-22 17:00:00,-0.2830292
2024-07-22 18:00:00,1.2098371
2024-07-22 19:00:00,2.4941952
2024-07-22 20:00:00,3.0159175
2024-07-22 21:00:00,3.139276
2024-07-22 22:00:00,2.5322824
2024-07-22 23:00:00,1.5292187
